============================================================
        超级大乐透历史开奖号码汇总
        数据来源：中国体彩网、彩吧助手等官方渠道
        更新至：2026年7月11日（第2026077期）
        共收录：200期
============================================================

格式说明：期号 | 开奖日期 | 前区号码(5个) | 后区号码(2个)
前区范围：01-35  后区范围：01-12

------------------------------------------------------------
期号         开奖日期      前区号码            后区号码
------------------------------------------------------------
2026077     2026-07-11   04 14 19 24 27     06 07
2026076     2026-07-08   15 20 27 28 35     02 11
2026075     2026-07-06   01 06 16 18 26     04 10
2026074     2026-07-04   01 04 10 23 25     01 12
2026073     2026-07-01   04 10 22 23 33     02 12
2026072     2026-06-29   01 13 26 29 30     09 11
2026071     2026-06-27   05 13 22 26 32     02 03
2026070     2026-06-24   04 05 15 21 32     02 11
2026069     2026-06-22   12 19 21 24 29     03 10
2026068     2026-06-20   03 11 12 21 22     06 10
2026067     2026-06-17   06 16 18 19 28     07 11
2026066     2026-06-15   10 13 19 21 30     04 05
2026065     2026-06-13   04 11 12 13 25     04 08
2026064     2026-06-10   03 13 15 17 21     02 07
2026063     2026-06-08   03 15 20 29 31     01 12
2026062     2026-06-06   07 15 20 24 29     04 10
2026061     2026-06-03   10 12 26 31 35     02 12
2026060     2026-06-01   22 28 30 31 34     01 05
2026059     2026-05-30   06 13 17 19 26     07 08
2026058     2026-05-27   07 12 13 18 34     01 05
2026057     2026-05-25   23 25 26 27 34     04 10
2026056     2026-05-23   06 07 18 21 30     01 05
2026055     2026-05-20   09 10 20 33 35     04 11
2026054     2026-05-18   02 06 14 22 24     08 11
2026053     2026-05-16   02 09 14 20 31     05 09
2026052     2026-05-13   02 03 20 28 33     02 12
2026051     2026-05-11   13 18 28 32 33     02 11
2026050     2026-05-09   06 10 14 23 33     08 10
2026049     2026-05-06   01 06 14 15 17     02 03
2026048     2026-05-04   11 17 20 23 35     01 10
2026047     2026-05-02   09 20 21 23 28     06 11
2026046     2026-04-29   01 13 18 27 33     04 07
2026045     2026-04-27   01 15 21 26 33     04 07
2026044     2026-04-25   03 08 22 26 29     07 10
2026043     2026-04-22   08 12 14 19 22     11 12
2026042     2026-04-20   02 07 13 19 24     03 08
2026041     2026-04-18   24 25 27 29 34     02 06
2026040     2026-04-15   06 12 13 21 34     08 09
2026039     2026-04-13   09 11 20 26 27     06 09
2026038     2026-04-11   08 17 21 33 35     06 07
2026037     2026-04-08   07 12 13 28 32     06 08
2026036     2026-04-06   04 07 16 26 32     05 08
2026035     2026-04-04   02 22 30 33 34     08 12
2026034     2026-04-01   11 12 25 26 27     08 11
2026033     2026-03-30   03 05 07 09 18     02 10
2026032     2026-03-28   03 04 19 26 32     01 12
2026031     2026-03-25   06 08 22 29 34     05 07
2026030     2026-03-23   02 13 22 28 34     05 12
2026029     2026-03-21   03 05 17 33 35     05 07
2026028     2026-03-18   15 27 29 30 34     01 10
2026027     2026-03-16   09 10 11 12 16     01 11
2026026     2026-03-14   10 11 22 26 32     01 08
2026025     2026-03-11   03 15 24 28 29     03 07
2026024     2026-03-09   02 04 08 10 21     09 12
2026023     2026-03-07   09 25 26 27 28     01 08
2026022     2026-03-04   05 09 10 18 26     05 06
2026021     2026-03-02   05 08 12 14 17     04 05
2026020     2026-02-28   01 10 21 23 29     10 12
2026019     2026-02-25   12 13 14 16 31     04 12
2026018     2026-02-11   09 11 19 30 35     01 12
2026017     2026-02-09   04 05 10 23 31     07 12
2026016     2026-02-07   08 09 12 19 24     01 06
2026015     2026-02-04   01 04 10 13 17     03 11
2026014     2026-02-02   16 18 23 34 35     01 06
2026013     2026-01-31   03 05 06 23 26     01 04
2026012     2026-01-28   01 02 09 22 25     01 06
2026011     2026-01-26   14 21 23 29 33     02 10
2026010     2026-01-24   02 03 13 18 26     02 09
2026009     2026-01-21   05 12 13 14 33     05 08
2026008     2026-01-19   03 06 17 21 33     05 11
2026007     2026-01-17   01 03 13 20 26     03 10
2026006     2026-01-14   05 12 18 23 35     06 12
2026005     2026-01-12   02 04 16 23 35     06 11
2026004     2026-01-10   05 18 23 25 32     05 09
2026003     2026-01-07   02 09 11 15 16     02 04
2026002     2026-01-05   04 08 15 20 31     07 08
2026001     2026-01-03   07 09 23 27 32     02 08
2025150     2025-12-31   13 14 15 28 31     01 05
2025149     2025-12-29   24 26 30 31 32     05 12
2025148     2025-12-27   03 04 14 30 32     08 12
2025147     2025-12-24   06 16 21 25 33     07 08
2025146     2025-12-22   06 11 13 16 22     02 03
2025145     2025-12-20   05 07 20 22 25     04 05
2025144     2025-12-17   02 05 13 15 28     05 08
2025143     2025-12-15   03 04 18 24 29     07 12
2025142     2025-12-13   09 10 14 27 29     02 09
2025141     2025-12-10   04 09 24 28 29     02 10
2025140     2025-12-08   04 05 13 18 34     02 08
2025139     2025-12-06   08 18 22 30 35     01 04
2025138     2025-12-03   01 03 19 21 23     07 11
2025137     2025-12-01   07 08 09 11 22     05 11
2025136     2025-11-29   07 11 15 16 23     09 11
2025135     2025-11-26   02 10 16 28 32     01 07
